frquency,impedance,wine_id,wine_name,Unnamed: 10,类别,类别编码
73,1987,1,江小白果立方,,白酒,2
74,1993,1,江小白果立方,,白酒,2
75,1998,1,江小白果立方,,白酒,2
76,2002,1,江小白果立方,,白酒,2
77,2003,1,江小白果立方,,白酒,2
78,2003,1,江小白果立方,,白酒,2
79,2003,1,江小白果立方,,白酒,2
80,2000,1,江小白果立方,,白酒,2
81,1998,1,江小白果立方,,白酒,2
82,1995,1,江小白果立方,,白酒,2
83,1993,1,江小白果立方,,白酒,2
84,1992,1,江小白果立方,,白酒,2
85,1990,1,江小白果立方,,白酒,2
87,1989,1,江小白果立方,,白酒,2
91,2002,1,江小白果立方,,白酒,2
92,2004,1,江小白果立方,,白酒,2
93,2006,1,江小白果立方,,白酒,2
94,2006,1,江小白果立方,,白酒,2
98,1989,1,江小白果立方,,白酒,2
99,1987,1,江小白果立方,,白酒,2
100,1985,1,江小白果立方,,白酒,2
101,1987,1,江小白果立方,,白酒,2
102,1989,1,江小白果立方,,白酒,2
103,1992,1,江小白果立方,,白酒,2
104,1996,1,江小白果立方,,白酒,2
105,1999,1,江小白果立方,,白酒,2
106,2002,1,江小白果立方,,白酒,2
107,2004,1,江小白果立方,,白酒,2
108,2005,1,江小白果立方,,白酒,2
109,2003,1,江小白果立方,,白酒,2
110,2002,1,江小白果立方,,白酒,2
111,2000,1,江小白果立方,,白酒,2
112,1997,1,江小白果立方,,白酒,2
113,1995,1,江小白果立方,,白酒,2
114,1991,1,江小白果立方,,白酒,2
115,1990,1,江小白果立方,,白酒,2
116,1989,1,江小白果立方,,白酒,2
117,1989,1,江小白果立方,,白酒,2
118,1990,1,江小白果立方,,白酒,2
119,1992,1,江小白果立方,,白酒,2
120,1993,1,江小白果立方,,白酒,2
20,1991,1,江小白果立方,,白酒,2
21,2000,1,江小白果立方,,白酒,2
22,1997,1,江小白果立方,,白酒,2
23,1988,1,江小白果立方,,白酒,2
24,1988,1,江小白果立方,,白酒,2
25,1995,1,江小白果立方,,白酒,2
26,2001,1,江小白果立方,,白酒,2
27,1996,1,江小白果立方,,白酒,2
28,1989,1,江小白果立方,,白酒,2
29,1990,1,江小白果立方,,白酒,2
30,1991,1,江小白果立方,,白酒,2
31,1994,1,江小白果立方,,白酒,2
33,1996,1,江小白果立方,,白酒,2
34,1990,1,江小白果立方,,白酒,2
35,1988,1,江小白果立方,,白酒,2
36,1990,1,江小白果立方,,白酒,2
37,1994,1,江小白果立方,,白酒,2
38,1997,1,江小白果立方,,白酒,2
39,1997,1,江小白果立方,,白酒,2
41,1987,1,江小白果立方,,白酒,2
42,1984,1,江小白果立方,,白酒,2
43,1993,1,江小白果立方,,白酒,2
44,2002,1,江小白果立方,,白酒,2
45,2001,1,江小白果立方,,白酒,2
46,1995,1,江小白果立方,,白酒,2
47,1990,1,江小白果立方,,白酒,2
48,1988,1,江小白果立方,,白酒,2
49,1989,1,江小白果立方,,白酒,2
53,1999,1,江小白果立方,,白酒,2
54,2006,1,江小白果立方,,白酒,2
55,2005,1,江小白果立方,,白酒,2
61,1990,1,江小白果立方,,白酒,2
62,1994,1,江小白果立方,,白酒,2
63,1996,1,江小白果立方,,白酒,2
64,2000,1,江小白果立方,,白酒,2
65,2003,1,江小白果立方,,白酒,2
66,2003,1,江小白果立方,,白酒,2
67,2000,1,江小白果立方,,白酒,2
68,1995,1,江小白果立方,,白酒,2
